,Suburb,Location,Region,Reported,Updated,Type,Information
2263,Moreland,Citylink,Melbourne-metropolitan,"29 Apr, 2016 - 4:51 PM","29 Apr, 2016 - 5:59 PM",All Lanes Now Open - Vehicle Breakdown,0
2264,Stonnington,Monash Freeway (M1),Melbourne-metropolitan,"29 Apr, 2016 - 4:48 PM","29 Apr, 2016 - 4:49 PM",1 lane closed outbound - Vehicle Breakdown,Breakdown near Winton Rd overpass blocking right lane outbound. Traffic heavy on approach. 
2265,Knox,Eastlink (M3),Melbourne-metropolitan,"29 Apr, 2016 - 4:46 PM","29 Apr, 2016 - 4:47 PM",1 lane closed inbound - Vehicle Collision,Collision near Boronia Rd has left lane closed inbound. Emergency Services on site. Allow extra time if travelling through the area. 
2266,Stonnington,Monash Freeway (M1),Melbourne-metropolitan,"29 Apr, 2016 - 4:43 PM","29 Apr, 2016 - 5:01 PM",All Lanes Now Open - Vehicle Collision,0
2267,Darebin,Heidelberg Road,Melbourne-metropolitan,"29 Apr, 2016 - 4:28 PM","29 Apr, 2016 - 4:29 PM",Traffic Alert - Vehicle Collision,Collision near Westfield St blocking left lane eastbound. Police on site directing traffic. 
2268,Melbourne,Victoria Street,Melbourne-metropolitan,"29 Apr, 2016 - 4:23 PM","29 Apr, 2016 - 5:21 PM",Incident Cleared - Vehicle Collision,0
2269,Baw-baw,Main South Road (C432),Gippsland,"29 Apr, 2016 - 3:38 PM","29 Apr, 2016 - 3:39 PM",Traffic Alert - Vehicle Breakdown,0
2270,Monash,Blackburn Road,Melbourne-metropolitan,"30 Apr, 2016 - 10:30 AM","30 Apr, 2016 - 10:31 AM",Incident Cleared - Emergency Works,0
2271,Yarra-ranges,Swansea Road (C401),Melbourne-metropolitan,"30 Apr, 2016 - 9:44 AM","30 Apr, 2016 - 10:29 AM",Incident Cleared - Emergency Works,0
2272,Monash,Ferntree Gully Road,Melbourne-metropolitan,"30 Apr, 2016 - 9:39 AM","30 Apr, 2016 - 9:40 AM",Incident Cleared - Emergency Works,0
2273,Moonee-valley,Ascot Vale Road,Melbourne-metropolitan,"30 Apr, 2016 - 9:37 AM","30 Apr, 2016 - 9:38 AM",Incident Cleared - Emergency Works,0
2274,Strathbogie,Hume Freeway (M31),Hume,"30 Apr, 2016 - 8:54 AM","30 Apr, 2016 - 6:18 PM",Incident Cleared - Vehicle Collision,0
2275,Boroondara,Denmark Street,Melbourne-metropolitan,"30 Apr, 2016 - 8:17 AM","30 Apr, 2016 - 9:23 AM",Incident Cleared - Emergency Works,0
2276,Benalla,Hume Freeway (M31),Hume,"30 Apr, 2016 - 7:38 AM","30 Apr, 2016 - 7:51 AM",Traffic Alert - Vehicle Collision,A reduced speed limit has been installed on the south bound lanes while Police investigate a collision.  
2277,Casey,Cameron Street (C404),Melbourne-metropolitan,"30 Apr, 2016 - 7:37 AM","30 Apr, 2016 - 10:14 AM",Road Reopened - Vehicle Collision,0
2278,Alpine,Gavan Street (B500),Hume,"30 Apr, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 01:00 PM to 03:30 PM. Event speed limit nil. Traffic delay nil.
2279,Moyne,Commercial Road (C183),Barwon,"30 Apr, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 06:00 AM to 06:00 PM. Event speed limit nil. Traffic delay 0 to 5 min.
2280,Hume,Gap Road (C707),Melbourne-metropolitan,"1 May, 2016 - 12:00 AM",0,Sporting/Social Event - expect delays,"Sunbury Ride for Motor Neurone Disease (MND)  -  Rotary Club of Sunbury

No road closures, take care around cyclists. Minor delays expected around Gisborne and Sunbury.

Event starts at 8:00am and finishes 12:00noon.  See website for more info: "
2281,Hume,Vineyard Road (C706),Melbourne-metropolitan,"1 May, 2016 - 12:00 AM",0,Sporting/Social Event - expect delays,"Sunbury Ride for Motor Neurone Disease (MND)  -  Rotary Club of Sunbury

No road closures, take care around cyclists. Minor delays expected around Gisborne and Sunbury.

Event starts at 8:00am and finishes 12:00noon.  See website for more info: "
2282,Hume,Riddell Road (C743),Melbourne-metropolitan,"1 May, 2016 - 12:00 AM",0,Sporting/Social Event - expect delays,"Sunbury Ride for Motor Neurone Disease (MND)  -  Rotary Club of Sunbury

No road closures, take care around cyclists. Minor delays expected around Gisborne and Sunbury.

Event starts at 8:00am and finishes 12:00noon.  See website for more info: "
2283,Yarra-ranges,"Belgrave-Gembrook Road (C404, C412)",Melbourne-metropolitan,"1 May, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Road closed in sections from 9.00 am to 11.00 am.Traffic delay greater than 10 min.
2284,Indigo,Ford Street (C315),Hume,"1 May, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 06:30 AM to 04:30 PM. Event speed limit nil. Traffic delay greater than 10 min.
2285,Casey,Monash Freeway (M1),Melbourne-metropolitan,"30 Apr, 2016 - 2:29 PM","30 Apr, 2016 - 3:04 PM",Incident Cleared - Vehicle Collision,0
2286,Melbourne,West Gate Freeway (M1),Melbourne-metropolitan,"30 Apr, 2016 - 11:43 AM","30 Apr, 2016 - 11:47 AM",All Lanes Now Open - Vehicle Collision,0
2287,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"30 Apr, 2016 - 11:28 AM","30 Apr, 2016 - 11:30 AM",1 lane closed inbound - Vehicle Breakdown,Left lane closed inbound due to a breakdown. Victoria Police on site. 
2288,Melbourne,College Crescent,Melbourne-metropolitan,"30 Apr, 2016 - 10:47 AM","30 Apr, 2016 - 10:48 AM",Incident Cleared - Emergency Works,0
2289,Moonee-valley,Scotia Street,Melbourne-metropolitan,"30 Apr, 2016 - 10:43 AM","30 Apr, 2016 - 12:03 PM",Incident Cleared - Emergency Works,0
2290,Moreland,Sydney Road,Melbourne-metropolitan,"2 May, 2016 - 8:42 AM","2 May, 2016 - 8:43 AM",Traffic Alert - Vehicle Collision,Collision at Bell St affecting outbound traffic. Allow extra time if travelling through the area. 
2291,Stonnington,Malvern Road,Melbourne-metropolitan,"2 May, 2016 - 7:51 AM",0,Traffic Alert - Emergency Works,Left lane closed westbound near Osborne Ave for power works. Speed limit reduced to 40km/h Works expected to be completed by 3:00pm. 
2292,Manningham,Eastern Freeway (M3),Melbourne-metropolitan,"2 May, 2016 - 7:13 AM","2 May, 2016 - 7:53 AM",All Lanes Now Open - Vehicle Collision,0
2293,Monash,Monash Freeway (M1),Melbourne-metropolitan,"2 May, 2016 - 6:44 AM","2 May, 2016 - 7:00 AM",All Lanes Now Open - Vehicle Collision,0
2294,Melbourne,Citylink,Melbourne-metropolitan,"2 May, 2016 - 6:29 AM","2 May, 2016 - 6:55 AM",All Lanes Now Open - Vehicle Breakdown,0
2295,Monash,Huntingdale Road,Melbourne-metropolitan,"2 May, 2016 - 5:18 AM","2 May, 2016 - 5:20 AM",Traffic Alert - Emergency Works,"Emerg water works on Huntingdale rd sth/b at Burton st, the LH lane is closed with a 40km speed limit til approx 12pm."
2296,Mildura,Main Avenue S (A79),Loddon-mallee,"2 May, 2016 - 2:12 AM","2 May, 2016 - 2:24 AM",Road Closed - Vehicle Collision,Calder Hwy has been closed between Channel rd 
2297,Mornington-peninsula,Station Street,Melbourne-metropolitan,"1 May, 2016 - 9:12 AM","1 May, 2016 - 2:39 PM",Incident Cleared - Emergency Incident,0
2298,Yarra-ranges,Benson Street,Melbourne-metropolitan,"1 May, 2016 - 8:26 AM","1 May, 2016 - 2:40 PM",Incident Cleared - Emergency Incident,0
2299,Yarra-ranges,Coldstream West Road,Melbourne-metropolitan,"1 May, 2016 - 7:00 AM","1 May, 2016 - 2:41 PM",Road Reopened - Weather,0
2300,Moreland,Bell Street,Melbourne-metropolitan,"2 May, 2016 - 10:26 AM","2 May, 2016 - 10:35 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Gordon St for gas works. Speed limit reduced to 40km/h Works expected to be completed by 3:00pm. 
2301,Banyule,Grimshaw Street,Melbourne-metropolitan,"2 May, 2016 - 10:01 AM","2 May, 2016 - 10:05 AM",Traffic Alert - Emergency Works,Left lane closed outbound near Dendaryl Dr for water works. Speed limit reduced to 40km/h Works expected to be completed by 3:00pm. 
2302,Boroondara,Burke Road,Melbourne-metropolitan,"2 May, 2016 - 9:53 AM","2 May, 2016 - 9:56 AM",Traffic Alert - Emergency Works,One lane closed both directions at Argyle Rd for gas works. Speed limit reduced to 40km/h Works expected to be completed by 3:30pm. 
2303,Boroondara,Princess Street,Melbourne-metropolitan,"2 May, 2016 - 9:49 AM","2 May, 2016 - 9:51 AM",Traffic Alert - Emergency Works,Left lane closed northbound near Duke St for NBN works. Speed limit reduced to 40km/h Works expected to be completed by 2:30pm. 
2304,Whitehorse,Canterbury Road,Melbourne-metropolitan,"2 May, 2016 - 9:42 AM","2 May, 2016 - 9:43 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Mahoneys Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2305,Melbourne,Lorimer Street,Melbourne-metropolitan,"2 May, 2016 - 9:40 AM","2 May, 2016 - 9:41 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Bayside Ave for electrical works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2306,Kingston,Centre Dandenong Road,Melbourne-metropolitan,"2 May, 2016 - 9:27 AM","2 May, 2016 - 9:28 AM",Traffic Alert - Emergency Works,Left lane closed at Lower Dandenong Rd for gas works. Speed limit reduced to 40km/h Works expected to be completed by 3:30pm. 
2307,Benalla,Hume Freeway (M31),Hume,"2 May, 2016 - 9:10 AM","2 May, 2016 - 12:30 PM",All lanes closed southbound - Vehicle Collision,Hume Fwy remains closed at Benalla after an earlier truck collision.Detour is via the Midland Hwy/Maroonday Hwy. Heavy vehicles via Midland Hwy to Goulburn Valley Hwy via Shepparton. Southbound expected to remain closed until early afternoon.  
2308,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"2 May, 2016 - 9:06 AM","2 May, 2016 - 9:07 AM",1 lane closed westbound - Vehicle Breakdown,Car breakdown near Airport Dr blocking right lane westbound. Crew on site. 
2309,Bayside,Balcombe Road,Melbourne-metropolitan,"2 May, 2016 - 8:54 AM","2 May, 2016 - 8:56 AM",Traffic Alert - Emergency Works,Left lane closed eastbound at Charman Rd for NBN works. Speed limit reduced to 40km/h Works expected to be completed by 3:30pm. 
2310,Melbourne,Victoria Parade,Melbourne-metropolitan,"2 May, 2016 - 2:09 PM","2 May, 2016 - 4:45 PM",All Lanes Now Open - Fire,0
2311,Cardinia,Cardinia Road,Melbourne-metropolitan,"2 May, 2016 - 1:17 PM","3 May, 2016 - 8:21 PM",Road Reopened - Vehicle Collision,0
2312,Bayside,Hampton Street,Melbourne-metropolitan,"2 May, 2016 - 1:13 PM","2 May, 2016 - 1:15 PM",Traffic Alert - Emergency Works,Left lane closed northbound near Regent St for water works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2313,Cardinia,Cardinia Road,Melbourne-metropolitan,"2 May, 2016 - 1:10 PM","2 May, 2016 - 1:12 PM",Road Reopened - Vehicle Collision,0
2314,Monash,Centre Road,Melbourne-metropolitan,"2 May, 2016 - 12:46 PM","2 May, 2016 - 12:48 PM",Traffic Alert - Emergency Works,Left lane closed westbound near Warrigal Rd for footpath works. Speed limit reduced to 40km/h Works expected to be completed by 3:30pm. 
2315,Melbourne,West Gate Freeway (M1),Melbourne-metropolitan,"2 May, 2016 - 12:23 PM","2 May, 2016 - 12:34 PM",All Lanes Now Open - Vehicle Breakdown,0
2316,Dandenong,Frankston-Dandenong Road,Melbourne-metropolitan,"2 May, 2016 - 11:44 AM","2 May, 2016 - 11:48 AM",Traffic Alert - Emergency Works,Left lane closed northbound at Abbotts Rd for power works. Speed limit reduced to 40km/h Works expected to be completed by 2:00pm. 
2317,Melbourne,Wellington Parade,Melbourne-metropolitan,"2 May, 2016 - 11:05 AM","2 May, 2016 - 11:06 AM",Traffic Alert - Emergency Works,Left lane closed inbound near Lansdowne St for utility works. Speed limit reduced to 40km/h Works expected to be completed by 3:30pm. 
2318,Maribyrnong,Francis Street,Melbourne-metropolitan,"2 May, 2016 - 10:55 AM","2 May, 2016 - 10:56 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Bena St for gas works. Speed limit reduced to 40km/h Works expected to be completed by 3:30pm. 
2319,South-gippsland,Roughead Street (B460),Gippsland,"2 May, 2016 - 10:39 AM","2 May, 2016 - 12:06 PM",All Lanes Now Open - Vehicle Collision,0
2320,Melbourne,Wellington Parade,Melbourne-metropolitan,"3 May, 2016 - 10:09 AM","3 May, 2016 - 10:10 AM",Traffic Alert - Emergency Works,Left lane closed outbound at Lansdowne St for utility works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2321,Stonnington,Burke Road,Melbourne-metropolitan,"3 May, 2016 - 9:49 AM","3 May, 2016 - 11:12 AM",All Lanes Now Open - Vehicle Collision,0
2322,Towong,Shelley Road (C547),Hume,"3 May, 2016 - 9:33 AM","3 May, 2016 - 2:56 PM",Road Reopened - Vehicle Collision,0
2323,Hume,Metropolitan Ring Road (M80),Melbourne-metropolitan,"3 May, 2016 - 8:36 AM","3 May, 2016 - 9:31 AM",All Lanes Now Open - Vehicle Collision,0
2324,Casey,Baxter-Tooradin Road (C781),Melbourne-metropolitan,"3 May, 2016 - 7:28 AM","3 May, 2016 - 9:56 AM",Incident Cleared - Emergency Works,0
2325,Hobsons-bay,Millers Road,Melbourne-metropolitan,"3 May, 2016 - 6:59 AM","3 May, 2016 - 8:06 AM",All Lanes Now Open - Vehicle Collision,0
2326,Shepparton,Goulburn Valley Freeway (M39),Hume,"2 May, 2016 - 10:37 PM","3 May, 2016 - 10:00 AM",All Lanes Now Open - Vehicle Collision,0
2327,Dandenong,Monash Freeway (M1),Melbourne-metropolitan,"2 May, 2016 - 6:25 PM","2 May, 2016 - 6:59 PM",All Lanes Now Open - Vehicle Collision,0
2328,Moonee-valley,Tullamarine Freeway,Melbourne-metropolitan,"2 May, 2016 - 3:48 PM","2 May, 2016 - 4:07 PM",All Lanes Now Open - Vehicle Breakdown,0
2329,Whitehorse,Elgar Road,Melbourne-metropolitan,"2 May, 2016 - 2:31 PM","2 May, 2016 - 2:32 PM",Traffic Alert - Emergency Works,Left lane closed inbound near Belmore Rd for water works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2330,Banyule,Lower Plenty Road,Melbourne-metropolitan,"3 May, 2016 - 11:28 AM","3 May, 2016 - 11:30 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Cantala Ave for power works. Speed limit reduced to 40km/h. Works expected to be completed by 2:00pm. 
2331,Frankston,Nepean Highway,Melbourne-metropolitan,"3 May, 2016 - 11:06 AM","3 May, 2016 - 11:14 AM",Traffic Alert - Emergency Works,Left lane closed northbound at Humphries Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 1:00pm. 
2332,Banyule,Lower Plenty Road,Melbourne-metropolitan,"3 May, 2016 - 10:59 AM","3 May, 2016 - 11:02 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Milford Gr for wtility works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2333,Wyndham,Heaths Road (C701),Melbourne-metropolitan,"3 May, 2016 - 10:52 AM","3 May, 2016 - 10:53 AM",Traffic Alert - Emergency Works,Left lane closed eastbound at River Run Dr for utility works. Speed limit reduced to 40km/h. Works expected to be completed by 1:00pm. 
2334,Knox,Mountain Highway,Melbourne-metropolitan,"3 May, 2016 - 10:49 AM","3 May, 2016 - 10:50 AM",Traffic Alert - Emergency Works,Right lane closed under Eastlink for graffiti removal. Speed limit reduced to 40km/h. Works expected to be completed by 1:00pm. 
2335,Moreland,Holmes Street,Melbourne-metropolitan,"3 May, 2016 - 10:46 AM","3 May, 2016 - 10:47 AM",Traffic Alert - Emergency Works,Left lane closed northbound at Donald St for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2336,Boroondara,Princess Street,Melbourne-metropolitan,"3 May, 2016 - 10:42 AM","3 May, 2016 - 10:44 AM",Traffic Alert - Emergency Works,Left lane closed northbound at Duke St for NBN works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2337,Manningham,Thompsons Road,Melbourne-metropolitan,"3 May, 2016 - 10:23 AM","3 May, 2016 - 10:35 AM",Traffic Alert - Emergency Works,Traffic alternated through open lane nr Manningham Rd for water works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2338,Maribyrnong,Francis Street,Melbourne-metropolitan,"3 May, 2016 - 10:21 AM",0,Traffic Alert - Emergency Works,Left lane closed westbound at Williamstown Rd for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2339,Melbourne,Lorimer Street,Melbourne-metropolitan,"3 May, 2016 - 10:14 AM","3 May, 2016 - 10:16 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Salmon St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2340,Baw-baw,Mt Baw Baw Tourist Road (C426),Gippsland,"3 May, 2016 - 4:20 PM","5 May, 2016 - 1:52 PM",Incident Cleared - Weather,0
2341,Yarra-ranges,Kallista-Emerald Road,Melbourne-metropolitan,"3 May, 2016 - 4:16 PM","3 May, 2016 - 8:20 PM",Road Reopened - Emergency Works,0
2342,Monash,Huntingdale Road,Melbourne-metropolitan,"3 May, 2016 - 3:56 PM","3 May, 2016 - 8:20 PM",Incident Cleared - Vehicle Collision,0
2343,Yarra-ranges,Gembrook-Launching Place Road (C424),Melbourne-metropolitan,"3 May, 2016 - 3:29 PM","4 May, 2016 - 12:58 AM",Road Reopened - Weather,0
2344,Monash,North Road,Melbourne-metropolitan,"3 May, 2016 - 12:13 PM","3 May, 2016 - 12:24 PM",All Lanes Now Open - Weather,0
2345,Yarra-ranges,Emerald-Monbulk Road (C406),Melbourne-metropolitan,"3 May, 2016 - 11:58 AM","3 May, 2016 - 12:02 PM",Traffic Alert - Emergency Works,Traffic alternated through open lane near Willis Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2346,Cardinia,Toomuc Valley Road,Melbourne-metropolitan,"3 May, 2016 - 11:47 AM","3 May, 2016 - 3:03 PM",Road Reopened - Weather,0
2347,Moonee-valley,Milleara Road,Melbourne-metropolitan,"3 May, 2016 - 11:42 AM","3 May, 2016 - 11:43 AM",Traffic Alert - Emergency Works,Left lane closed southbound at Keilor Park Dr for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2348,Moonee-valley,Ascot Vale Road,Melbourne-metropolitan,"3 May, 2016 - 11:38 AM","3 May, 2016 - 11:39 AM",Traffic Alert - Emergency Works,Left lane closed southbound near Canterbury St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2349,Boroondara,Burke Road,Melbourne-metropolitan,"3 May, 2016 - 11:32 AM","3 May, 2016 - 11:34 AM",Traffic Alert - Emergency Works,Left lane closed both directions at Gordon St for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2350,Mornington-peninsula,Nepean Highway,Melbourne-metropolitan,"4 May, 2016 - 9:00 AM","4 May, 2016 - 9:05 AM",Traffic Alert - Emergency Works,Left lane closed southbound near Wooralla Dr for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2351,Melbourne,Arden Street,Melbourne-metropolitan,"4 May, 2016 - 6:54 AM","4 May, 2016 - 3:39 PM",All lanes closed westbound - Flood,All lanes closed westbound between Dryburgh St and Abbotsford St due to a burst water main earlier today. Eastbound is now open. All lanes remain closed northbound on Abbotsford St at Arden St. VicRoads advises motorists to avoid the area and use Queensbury St as an alternate route. 
2352,Melbourne,Olympic Boulevard,Melbourne-metropolitan,"4 May, 2016 - 12:00 AM","30 Apr, 2017 - 12:00 AM",Sporting/Social Event - road closed,Event at Melbourne Olympic Park from 08:00 PM to 06:00 AM. Event speed limit 40 km/h. Traffic delay 6 to 10 min.
2353,Yarra,Olympic Boulevard,Melbourne-metropolitan,"4 May, 2016 - 12:00 AM","30 Apr, 2017 - 12:00 AM",Sporting/Social Event - road closed,Event at Melbourne  Olympic Park. Event speed limit 40 km/h. Traffic delay 6 to 10 min.
2354,Yarra,Olympic Boulevard,Melbourne-metropolitan,"4 May, 2016 - 12:00 AM","30 Apr, 2018 - 12:00 AM",Sporting/Social Event - road closed,"Road and lane closure of Olympic Boulevard to allow for safe exit of pedestrians from AAMI Park, Rod Laver Arena, Eastern Car Park, Hisense Arena during EVENTS ONLY."
2355,Melbourne,Olympic Boulevard,Melbourne-metropolitan,"4 May, 2016 - 12:00 AM","30 Apr, 2018 - 12:00 AM",Sporting/Social Event - road closed,"Road and lane closure of Olympic Boulevard to allow for safe exit of pedestrians from AAMI Park, Rod Laver Arena, Eastern Car Park, Hisense Arena during EVENTS ONLY."
2356,Melbourne,Dudley Street,Melbourne-metropolitan,"3 May, 2016 - 11:50 PM","4 May, 2016 - 1:05 AM",Incident Cleared - Flood,0
2357,Bayside,Beach Road,Melbourne-metropolitan,"3 May, 2016 - 8:18 PM","4 May, 2016 - 5:19 AM",Road Reopened - Vehicle Collision,0
2358,South-gippsland,Andersons Inlet Road,Gippsland,"3 May, 2016 - 5:44 PM","4 May, 2016 - 12:57 AM",Road Reopened - Weather,0
2359,Shepparton,Midland Highway (A300),Hume,"3 May, 2016 - 4:56 PM","3 May, 2016 - 6:19 PM",Road Closed - Vehicle Collision,"Road closed near Pine Lodge South Rd due to a collision. Emergency services on site. Detour via Boundary Rd, Dookie-Shepparton Rd, Caniambo-Cosgrove Rd. "
2360,Moreland,Bell Street,Melbourne-metropolitan,"4 May, 2016 - 10:20 AM","4 May, 2016 - 10:22 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Gordon St for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2361,Melbourne,Wellington Parade,Melbourne-metropolitan,"4 May, 2016 - 10:12 AM","4 May, 2016 - 10:13 AM",Traffic Alert - Emergency Works,Left lane closed eastbound at Lansdowne St for utility works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2362,Manningham,Williamsons Road,Melbourne-metropolitan,"4 May, 2016 - 10:07 AM","4 May, 2016 - 10:09 AM",Traffic Alert - Emergency Works,Left lane closed inbound near King St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 2:00pm. 
2363,Yarra,Bridge Road,Melbourne-metropolitan,"4 May, 2016 - 9:57 AM","4 May, 2016 - 9:58 AM",Traffic Alert - Emergency Works,Left lane closed westbound at Waltham St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2364,Maribyrnong,Francis Street,Melbourne-metropolitan,"4 May, 2016 - 9:52 AM","4 May, 2016 - 9:55 AM",Traffic Alert - Emergency Works,Left lane closed outbound at Richards St for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2365,Wyndham,Heaths Road (C701),Melbourne-metropolitan,"4 May, 2016 - 9:36 AM","4 May, 2016 - 9:37 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Marina St for bus shelter works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2366,Maroondah,Canterbury Road,Melbourne-metropolitan,"4 May, 2016 - 9:32 AM","4 May, 2016 - 9:33 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Heatherdale Rd for utility works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2367,Hume,Camp Road,Melbourne-metropolitan,"4 May, 2016 - 9:30 AM","4 May, 2016 - 3:05 PM",Traffic Alert - Emergency Works,Left lane closed eastbound neat Joffre St for gas works. Speed limit reduced to 40km/h. Works have been extended until 5:00pm. 
2368,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"4 May, 2016 - 9:29 AM","4 May, 2016 - 11:09 AM",All Lanes Now Open - Vehicle Breakdown,0
2369,Hume,Aitken Boulevard,Melbourne-metropolitan,"4 May, 2016 - 9:10 AM","4 May, 2016 - 9:12 AM",Traffic Alert - Emergency Works,Left lane closed near Marathon Blvd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2370,Dandenong,Monash Freeway (M1),Melbourne-metropolitan,"5 May, 2016 - 7:50 AM","5 May, 2016 - 8:17 AM",All Lanes Now Open - Vehicle Collision,0
2371,Wyndham,Princes Freeway (M1),Melbourne-metropolitan,"4 May, 2016 - 6:29 PM","4 May, 2016 - 6:42 PM",1 lane closed outbound - Vehicle Collision,Left lane remains closed outbound near Palmers Rd after a car roll-over. VicRoads and emergency services on site. Delays were back to Railway Ave and will take time to clear. 
2372,Casey,Cranbourne Road (C404),Melbourne-metropolitan,"4 May, 2016 - 4:04 PM","4 May, 2016 - 4:49 PM",Incident Cleared - Vehicle Collision,0
2373,Baw-baw,Fischers Road,Gippsland,"4 May, 2016 - 2:18 PM","5 May, 2016 - 8:44 AM",Road Reopened - Weather,0
2374,Bendigo,Barnard Street (C335),Loddon-mallee,"4 May, 2016 - 12:42 PM","4 May, 2016 - 12:44 PM",Traffic Alert - Emergency Works,Left lane closed eastbound at Mercy St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2375,Maroondah,Canterbury Road,Melbourne-metropolitan,"4 May, 2016 - 11:53 AM","4 May, 2016 - 11:57 AM",Traffic Alert - Emergency Works,Left lane closed northbound near Allens Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 2:00pm. 
2376,Kingston,Lower Dandenong Road,Melbourne-metropolitan,"4 May, 2016 - 11:41 AM","4 May, 2016 - 11:43 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Long St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 2:00pm. 
2377,Boroondara,Burke Road,Melbourne-metropolitan,"4 May, 2016 - 10:55 AM","4 May, 2016 - 4:01 PM",Traffic Alert - Emergency Works,Left lane closed at Gordon St both directions for gas works. Speed limit reduced to 40km/h. Works have been extended until 4.30pm. 
2378,Monash,Centre Road,Melbourne-metropolitan,"4 May, 2016 - 10:27 AM","4 May, 2016 - 10:28 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Elora Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2379,Maroondah,Maroondah Highway,Melbourne-metropolitan,"4 May, 2016 - 10:24 AM","4 May, 2016 - 10:25 AM",Traffic Alert - Emergency Works,Left lane closed outbound near Olive Gr for water works. Speed limit reduced to 40km/h. Works expected to be completed by 1:30pm. 
2380,Yarra-ranges,Hereford Road (C404),Melbourne-metropolitan,"5 May, 2016 - 10:23 AM","5 May, 2016 - 10:24 AM",Traffic Alert - Emergency Works,Left lane closed southbound near Birmingham Rd for NBN works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2381,Banyule,Lower Plenty Road,Melbourne-metropolitan,"5 May, 2016 - 10:21 AM","5 May, 2016 - 10:22 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Rosanna Rd for pit works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2382,Maribyrnong,Francis Street,Melbourne-metropolitan,"5 May, 2016 - 10:19 AM","5 May, 2016 - 10:20 AM",Traffic Alert - Emergency Works,Left lane closed inbound near Stooke St for footpath works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2383,Yarra-ranges,Emerald-Monbulk Road (C406),Melbourne-metropolitan,"5 May, 2016 - 9:30 AM","5 May, 2016 - 9:31 AM",Traffic Alert - Emergency Works,Left lane closed northbound near Nobelius St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 12:00pm. 
